emp_no,first_name,last_name,title,from_date,salary
10001,Georgi,Facello,Senior Engineer,6/26/1986,60117
10100,Hironobu,Haraldson,Senior Staff,9/21/1994,54398
10100,Hironobu,Haraldson,Staff,9/21/1987,54398
10103,Akemi,Birch,Engineer,1/12/1998,68158
10108,Lunjin,Giveon,Staff,3/20/1999,40000
10116,Dayanand,Czap,Senior Engineer,2/27/1994,44034
10126,Kayoko,Valtorta,Senior Staff,9/8/1991,40000
10126,Kayoko,Valtorta,Staff,9/8/1985,40000
10129,Armond,Peir,Technique Leader,1/16/1996,40000
10130,Nishit,Casperson,Senior Engineer,6/21/1988,40000
10134,Diederik,Siprelle,Engineer,12/12/1987,40000
10134,Diederik,Siprelle,Senior Engineer,12/12/1994,40000
10138,Perry,Shimshoni,Engineer,3/3/1992,53574
10138,Perry,Shimshoni,Senior Engineer,3/3/2001,53574
10149,Xiadong,Perry,Staff,1/28/1994,88740
10150,Zhenbing,Perng,Engineer,11/16/1986,70122
10150,Zhenbing,Perng,Senior Engineer,11/16/1995,70122
10152,Jaques,Munro,Engineer,1/27/1986,40000
10153,Heekeun,Majewski,Assistant Engineer,1/8/2000,54246
10157,Nigel,Aloisi,Senior Engineer,12/10/1997,48770
10161,Hairong,Mellouli,Engineer,6/9/1991,43149
10186,Shigehito,Kropatsch,Staff,12/25/1996,40000
10198,Pranav,Furedi,Engineer,8/31/1985,44076
10198,Pranav,Furedi,Senior Engineer,8/31/1993,44076
10215,Xiaobin,Duclos,Senior Staff,11/23/1991,43944
10217,Yongmin,Roison,Technique Leader,5/12/1986,40000
10224,Leon,Trogemann,Engineer,1/9/1988,40000
10224,Leon,Trogemann,Senior Engineer,1/9/1996,40000
10229,Ulises,Takanami,Engineer,2/20/1996,58321
10233,Lein,Vendrig,Senior Staff,4/28/2000,40000
10233,Lein,Vendrig,Staff,4/29/1994,40000
10258,Basil,Ishibashi,Assistant Engineer,5/17/1985,66280
10258,Basil,Ishibashi,Engineer,5/17/1991,66280
10258,Basil,Ishibashi,Senior Engineer,5/16/1997,66280
10272,Yishai,Cannane,Staff,10/23/1997,58070
10282,Hercules,Benzmuller,Assistant Engineer,5/2/1996,40000
10282,Hercules,Benzmuller,Engineer,5/2/2001,40000
10283,Kauko,Birjandi,Engineer,5/25/1988,40000
10283,Kauko,Birjandi,Senior Engineer,5/26/1995,40000
10286,Saddek,Gopalakrishnan,Staff,12/24/1994,40000
10302,Faiza,Baer,Senior Staff,7/22/1994,58239
10302,Faiza,Baer,Staff,7/22/1986,58239
10305,Hirochika,Piancastelli,Engineer,10/31/1988,52550
10326,Masali,Czap,Staff,9/2/1998,40000
10327,Roded,Facello,Engineer,9/18/1987,54734
10340,Djelloul,Laventhal,Senior Staff,3/30/1993,68132
10340,Djelloul,Laventhal,Staff,3/30/1988,68132
10004,Chirstian,Koblick,Engineer,12/1/1986,40054
10347,Pradeep,Kaminger,Staff,2/20/1998,42199
10355,Satyanarayana,Cochrane,Staff,1/26/1996,70434
10356,Vasilis,Standera,Senior Staff,6/26/1995,45376
10004,Chirstian,Koblick,Senior Engineer,12/1/1995,40054
10363,Toshiki,Muniz,Assistant Engineer,9/11/1985,40401
10009,Sumant,Peac,Assistant Engineer,2/18/1985,60929
10364,Nakhoon,Dengi,Senior Engineer,11/14/1985,51401
10009,Sumant,Peac,Engineer,2/18/1990,60929
10009,Sumant,Peac,Senior Engineer,2/18/1995,60929
10018,Kazuhide,Peha,Engineer,4/3/1987,55881
10372,Anneli,Frijda,Technique Leader,7/30/1985,54505
10387,Parto,Wrigley,Senior Staff,1/7/1999,61374
10387,Parto,Wrigley,Staff,1/7/1994,61374
10018,Kazuhide,Peha,Senior Engineer,4/3/1995,55881
10035,Alain,Chappelet,Engineer,9/5/1988,41538
10395,Takahiro,Deverell,Engineer,8/10/1998,42774
10396,Sibyl,Rahier,Senior Engineer,1/11/1986,40393
10402,Volkmar,Ebeling,Technique Leader,1/2/1987,40000
10404,Prodip,Rosti,Engineer,8/28/1988,51647
