emp_no,first_name,last_name,title,to_date
10001,Georgi,Facello,Senior Engineer,1/1/9999
10004,Chirstian,Koblick,Senior Engineer,1/1/9999
10009,Sumant,Peac,Senior Engineer,1/1/9999
10018,Kazuhide,Peha,Senior Engineer,1/1/9999
10035,Alain,Chappelet,Senior Engineer,1/1/9999
10053,Sanjiv,Zschoche,Senior Staff,1/1/9999
10058,Berhard,McFarlin,Senior Staff,1/1/9999
10066,Kwee,Schusler,Senior Engineer,1/1/9999
10067,Claudi,Stavenow,Senior Engineer,1/1/9999
10070,Reuven,Garigliano,Technique Leader,1/1/9999
10072,Hironoby,Sidou,Senior Engineer,1/1/9999
10076,Erez,Ritzmann,Senior Engineer,1/1/9999
10088,Jungsoon,Syrzycki,Senior Staff,1/1/9999
10100,Hironobu,Haraldson,Senior Staff,1/1/9999
10103,Akemi,Birch,Engineer,1/1/9999
10108,Lunjin,Giveon,Staff,10/20/2001
10116,Dayanand,Czap,Senior Engineer,11/1/1998
10126,Kayoko,Valtorta,Senior Staff,1/1/9999
10129,Armond,Peir,Technique Leader,1/1/9999
10130,Nishit,Casperson,Senior Engineer,1/1/9999
10134,Diederik,Siprelle,Senior Engineer,1/1/9999
10138,Perry,Shimshoni,Senior Engineer,1/1/9999
10149,Xiadong,Perry,Staff,8/27/1996
10150,Zhenbing,Perng,Senior Engineer,1/1/9999
10152,Jaques,Munro,Engineer,8/3/1987
10153,Heekeun,Majewski,Assistant Engineer,1/1/9999
10157,Nigel,Aloisi,Senior Engineer,1/1/9999
10161,Hairong,Mellouli,Engineer,1/5/1994
10186,Shigehito,Kropatsch,Staff,8/16/1997
10198,Pranav,Furedi,Senior Engineer,1/1/9999
10215,Xiaobin,Duclos,Senior Staff,1/1/9999
10217,Yongmin,Roison,Technique Leader,8/5/1993
10224,Leon,Trogemann,Senior Engineer,1/1/9999
10229,Ulises,Takanami,Engineer,6/30/2000
10233,Lein,Vendrig,Senior Staff,1/1/9999
10258,Basil,Ishibashi,Senior Engineer,1/1/9999
10272,Yishai,Cannane,Staff,1/1/9999
10282,Hercules,Benzmuller,Engineer,1/1/9999
10283,Kauko,Birjandi,Senior Engineer,1/1/9999
10286,Saddek,Gopalakrishnan,Staff,1/24/1999
10302,Faiza,Baer,Senior Staff,11/9/1999
10305,Hirochika,Piancastelli,Engineer,6/2/1992
10326,Masali,Czap,Staff,1/1/9999
10327,Roded,Facello,Engineer,5/22/1993
10340,Djelloul,Laventhal,Senior Staff,1/1/9999
10347,Pradeep,Kaminger,Staff,1/1/9999
10355,Satyanarayana,Cochrane,Staff,1/1/9999
10356,Vasilis,Standera,Senior Staff,1/1/9999
10363,Toshiki,Muniz,Assistant Engineer,2/12/1993
10364,Nakhoon,Dengi,Senior Engineer,1/1/9999
10372,Anneli,Frijda,Technique Leader,1/1/9999
10387,Parto,Wrigley,Senior Staff,1/1/9999
10395,Takahiro,Deverell,Engineer,8/13/2001
10396,Sibyl,Rahier,Senior Engineer,1/1/9999
10402,Volkmar,Ebeling,Technique Leader,1/1/9999
10404,Prodip,Rosti,Senior Engineer,1/1/9999
10426,Arunas,Luce,Technique Leader,1/1/9999
10429,Martien,Improta,Senior Engineer,1/1/9999
10432,Hisao,Tiemann,Senior Staff,1/1/9999
10442,Volkmar,Unno,Senior Staff,3/13/2001
10451,Bodh,Ranta,Senior Engineer,1/1/9999
10453,Tsvetan,Matzel,Senior Staff,1/1/9999
10463,Ung,Zaiane,Staff,1/1/9999
10466,Jiakeng,Himler,Staff,8/15/2000
10486,Amstein,Kossowski,Senior Engineer,1/1/9999
10494,Yakkov,Servieres,Senior Engineer,1/1/9999
10504,Xiong,Varker,Staff,1/1/9999
10512,Udi,Gihr,Senior Staff,1/1/9999
10519,Yonghoan,Alencar,Senior Staff,10/13/2001
10522,Marke,Cesareni,Senior Staff,1/1/9999
10538,Przemyslawa,Falby,Senior Engineer,12/13/1998
10541,Godehard,Eiter,Staff,10/1/1986
10548,Ramalingam,Gunderson,Senior Staff,1/1/9999
10564,Jianhao,Thisen,Senior Engineer,1/1/9999
10575,Theirry,Yeung,Senior Engineer,11/22/2000
10591,Hidde,Hettesheimer,Staff,9/20/1988
10608,Adhemar,Talmor,Senior Engineer,6/2/1991
10617,Hidekazu,Angel,Senior Staff,10/3/2001
10623,Aleksander,Danlos,Senior Engineer,1/1/9999
10628,Krisda,Krogh,Senior Engineer,1/1/9999
10629,Lalit,Francisci,Staff,12/7/2001
10631,Inderjeet,Chaudhuri,Engineer,1/1/9999
10642,Hirochika,Narlikar,Engineer,1/1/9999
10653,Otmar,Feinberg,Senior Engineer,1/1/9999
10671,Parviz,Rebaine,Senior Staff,1/1/9999
10672,Bluma,Zeilberger,Senior Engineer,4/19/1996
10676,Valeri,Danley,Engineer,1/1/9999
10693,Berhard,Daescu,Senior Staff,1/1/9999
10694,Rildo,Straney,Senior Staff,7/11/2001
10702,Bader,Szemeredi,Senior Engineer,1/1/9999
10718,Adib,Rullman,Senior Engineer,1/1/9999
10726,Zita,Minakawa,Senior Engineer,1/1/9999
10731,Fumitaka,Peak,Senior Staff,10/9/2000
10734,Sachar,Erdi,Engineer,1/1/9999
10745,Poorav,Ranze,Senior Engineer,1/1/9999
10749,King,Brendel,Senior Engineer,1/1/9999
10751,Jordanka,Ushiama,Engineer,12/5/2000
10767,Monique,Doering,Staff,1/1/9999
10768,Ishfaq,Candan,Senior Engineer,1/1/9999
10777,Mizuhito,Kemmerer,Senior Engineer,3/27/2001
10778,Selwyn,Merey,Senior Staff,1/1/9999
10791,Tadahiko,Sgarro,Senior Engineer,1/1/9999
10795,Supot,Naudin,Senior Staff,1/1/9999
10803,Katsuyuki,Velasco,Senior Engineer,4/2/2002
10808,Chenxi,Leijenhorst,Senior Engineer,1/1/9999
10835,Tomoyuki,Kermarrec,Engineer,1/1/9999
10836,Jianhua,Leivant,Senior Staff,1/1/9999
10844,Dipayan,Koprowski,Engineer,1/1/9999
10847,Theirry,Danley,Senior Staff,1/1/9999
10848,Fen,Bratsberg,Senior Engineer,1/1/9999
10867,Billur,Gyorkos,Engineer,3/22/2002
10878,Lakshmi,Deville,Staff,1/1/9999
10879,Muzhong,Chleq,Senior Engineer,1/1/9999
10883,Shimshon,Champarnaud,Engineer,1/1/9999
10895,Vishwani,Petersohn,Staff,4/13/1987
10909,Georgi,Atchley,Senior Engineer,1/1/9999
10912,Oscal,Fasbender,Senior Staff,9/26/1999
10918,Susumu,Reghbati,Staff,10/10/1990
10921,Mara,Bahi,Senior Engineer,1/1/9999
10924,Hironoby,Atchley,Senior Staff,1/1/9999
10927,Gal,Scallan,Senior Staff,1/1/9999
10936,Mountaz,Schicker,Senior Staff,1/1/9999
10943,Berna,Skafidas,Senior Engineer,1/1/9999
10965,Eckart,Braunschweig,Senior Staff,1/1/9999
10969,Premal,Noriega,Senior Engineer,1/1/9999
10974,Muneo,Papsdorf,Senior Engineer,1/1/9999
10986,Masako,Schiper,Technique Leader,1/1/9999
10988,Chinya,Deyuan,Senior Engineer,1/1/9999
10989,Sumali,Candan,Senior Staff,1/1/9999
10990,Shin,Foote,Technique Leader,1/1/9999
11009,Alper,Axelband,Senior Staff,1/1/9999
11012,Taegyun,Speckmann,Staff,1/1/9999
11019,Leon,Huttel,Senior Engineer,1/1/9999
11021,Srinidhi,Henders,Staff,1/1/9999
11027,Remzi,Cappello,Senior Engineer,1/1/9999
11028,Miyeon,Krider,Senior Engineer,9/4/1997
11031,Ottavia,Walstra,Senior Staff,1/1/9999
11037,Lansing,Maliniak,Senior Engineer,1/1/9999
11038,Jinya,Beidas,Senior Staff,1/1/9999
11042,Gou,Breugel,Senior Engineer,1/1/9999
11048,Jaques,Demke,Senior Staff,1/1/9999
11050,Elvis,Katiyar,Senior Staff,1/1/9999
11051,Przemyslawa,Erol,Senior Engineer,1/1/9999
11070,Adib,Raney,Senior Engineer,1/1/9999
11081,Barry,Boyle,Senior Staff,1/1/9999
11085,Hailing,Thummel,Senior Engineer,1/1/9999
11100,Berna,Cochrane,Senior Staff,1/1/9999
11106,Aris,Iwayama,Senior Engineer,1/1/9999
11110,Valeska,Birjandi,Staff,3/30/1992
11112,Boaz,Mukaidono,Staff,1/1/9999
11113,Shahab,Peng,Senior Staff,1/1/9999
11121,Vugranam,Kakkad,Senior Engineer,1/1/9999
11133,Nalini,Azulay,Technique Leader,1/1/9999
11134,Sachar,Rajcani,Senior Engineer,1/1/9999
11137,Hugh,Luca,Engineer,1/1/9999
11139,Bogdan,Homond,Senior Staff,1/1/9999
11146,Ishfaq,Masand,Senior Staff,1/1/9999
